,state,law_pass_year,subject,point_estimate_sdid,ci_left_sdid,ci_right_sdid,p_val_sdid,point_estimate_did,ci_left_did,ci_right_did,p_val_did,point_estimate_sc,ci_left_sc,ci_right_sc,p_val_sc
0,DELAWARE,2003,AVG_MATH_4_SCORE,3.17030324,-4.012908662,10.35351514,0.393950578,1.069548872,-6.317195773,8.456293518,0.789003287,-1.861802849,-4.109985376,6.249083121,1
1,DELAWARE,2003,AVG_MATH_8_SCORE,6.401127749,-1.764835289,14.56709079,0.124483359,3.79981203,-4.732649334,12.33227339,0.389542437,2.694828215,-2.456252617,10.05587668,0.405807809
2,DELAWARE,2003,AVG_READING_4_SCORE,-1.304066767,-6.852068515,4.243934981,1,8.630639098,1.309578717,15.95169948,0.020698896,9.237977794,3.520783666,13.74049453,0.000424793
3,DELAWARE,2003,AVG_READING_8_SCORE,0.587770233,-3.243004818,4.418545284,0.776276886,8.06343985,3.196890348,12.92998935,0.001211548,7.163805131,4.164688064,11.96219163,0.000342977
4,ILLINOIS,1993,AVG_MATH_4_SCORE,-5.176494927,-10.60053206,0.247542208,0.891917638,-5.801619433,-11.73492645,0.131687583,0.857422354,-2.839639178,-9.777434975,-1.825803892,1
5,ILLINOIS,1993,AVG_MATH_8_SCORE,4.60382049,-2.18051661,11.38815759,0.184601032,2.08805668,-6.306406235,10.48251959,0.638622773,4.841918133,-3.247365467,7.423478828,0.074909397
6,ILLINOIS,1993,AVG_READING_4_SCORE,-1.154348179,-6.721921758,4.413225399,1,-1.380566802,-7.205070813,4.44393721,1,-0.504961088,-6.45117822,3.690044616,1
7,ILLINOIS,1993,AVG_READING_8_SCORE,-1.282202765,-4.575619309,2.011213779,1,-1.489878543,-4.813405887,1.833648802,1,0.012158829,-4.642709195,1.66295211,0.994571432
8,MARYLAND,1993,AVG_MATH_4_SCORE,1.028232119,-4.395805017,6.452269254,0.72336863,0.967611336,-4.96569568,6.900918352,0.762095183,1.446756546,-3.008204206,4.943426878,0.485296799
9,MARYLAND,1993,AVG_MATH_8_SCORE,2.176268374,-4.608068726,8.960605474,0.540511553,3.280364372,-5.114098542,11.67482729,0.452390954,1.888849484,-2.055057775,8.61578652,0.497677101
10,MARYLAND,1993,AVG_READING_4_SCORE,5.34848167,-0.219091909,10.91605525,0.059319123,5.734817814,-0.089686198,11.55932183,0.053239762,4.992308271,0.664206396,10.80542923,0.053250539
11,MARYLAND,1993,AVG_READING_8_SCORE,2.428086286,-0.865330258,5.72150283,0.14886437,2.394736842,-0.928790503,5.718264187,0.158453659,2.677171077,-0.75809381,5.547567495,0.09579175
12,MONTANA,1991,AVG_MATH_4_SCORE,-4.140480422,-8.907293075,0.62633223,1,-5.280075188,-10.78957456,0.229424184,0.886050589,-0.608418443,-9.011487824,-1.548662552,1
13,MONTANA,1991,AVG_MATH_8_SCORE,-4.818037134,-12.819292,3.183217731,1,-6.665413534,-15.41645603,2.085628961,1,1.69756453,-13.15868946,-0.17213761,0.620874803
14,MONTANA,1991,AVG_READING_4_SCORE,-0.382010185,-5.452604647,4.688584277,1,-0.92481203,-6.333280041,4.483655981,1,1.637099318,-5.62866359,3.77903953,0.505264397
15,MONTANA,1991,AVG_READING_8_SCORE,-1.24876183,-4.2814998,1.78397614,1,-1.633458647,-4.719591181,1.452673888,1,3.214285714,-4.567963537,1.301046244,0.031534582
16,NEVADA,1993,AVG_MATH_4_SCORE,-5.563607003,-10.98764414,-0.139569868,0.786685702,-6.070850202,-12.00415722,-0.137543186,0.790444361,-4.350287249,-10.04666574,-2.095034661,0.686848047
17,NEVADA,1993,AVG_MATH_8_SCORE,-4.165384757,-10.94972186,2.618952343,1,-6.681174089,-15.075637,1.713288826,1,-2.378507914,-12.01659624,-1.345751942,1
18,NEVADA,1993,AVG_READING_4_SCORE,0.128896693,-5.438676886,5.696470272,0.967159769,0.619433198,-5.205070813,6.44393721,0.845751218,-1.802564135,-4.45117822,5.690044616,1
19,NEVADA,1993,AVG_READING_8_SCORE,-2.610976423,-5.904392967,0.682440121,1,-2.605263158,-5.928790503,0.718264187,1,-2.615384521,-5.75809381,0.547567495,1
20,NEW_MEXICO,2011,AVG_MATH_4_SCORE,1.617328453,-4.390784676,7.625441582,0.610117501,-1.366028708,-7.70310655,4.971049134,1,-3.954364503,-7.12957558,4.397518164,1
21,NEW_MEXICO,2011,AVG_MATH_8_SCORE,2.914737407,-2.544734095,8.374208909,0.299453341,-1.150119617,-7.653307957,5.353068723,1,-2.360295536,-5.496314032,3.196074798,1
22,NEW_MEXICO,2011,AVG_READING_4_SCORE,-3.683392112,-8.674823431,1.308039206,1,-5.616626794,-11.98951471,0.756261122,0.997235753,-6.388888351,-11.02468066,-0.208572928,0.565435688
